date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:42	39660/39660	---M--	200	added ('OK')	font/woff2	etag:W/%229aec-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/IBMPlexMono-Light.d16d9e54.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/IBMPlexMono-Light.d16d9e54.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:43	39828/39828	---M--	200	added ('OK')	font/woff2	etag:W/%229b94-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/IBMPlexMono-ExtraLight.8501e659.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/IBMPlexMono-ExtraLight.8501e659.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:44	28960/28960	---M--	200	added ('OK')	font/woff2	etag:W/%227120-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/condensed-heavy.424d1390.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/condensed-heavy.424d1390.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:45	56416/56416	---M--	200	added ('OK')	font/woff2	etag:W/%22dc60-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/IBMPlexSans-Regular.201b3ae8.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/IBMPlexSans-Regular.201b3ae8.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:46	59748/59748	---M--	200	added ('OK')	font/woff2	etag:W/%22e964-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/IBMPlexSans-Light.6bb316ed.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/IBMPlexSans-Light.6bb316ed.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:47	23484/23484	---M--	200	added ('OK')	font/woff2	etag:W/%225bbc-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/lato-latin-400.cc2c3b4a.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/lato-latin-400.cc2c3b4a.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:47	22992/22992	---M--	200	added ('OK')	font/woff2	etag:W/%2259d0-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/lato-latin-700.10278b9b.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/lato-latin-700.10278b9b.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:49	15736/15736	---M--	200	added ('OK')	font/woff2	etag:W/%223d78-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/roboto-latin-400.1e2d4d3a.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/roboto-latin-400.1e2d4d3a.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:07:11	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:50%20GMT	https://www.arkhamintelligence.com/%22https://assets-global.website-files.com/62879326fd745f7489b43224/62a3a7248e6a2b47b66bd26c_Arkham_pentagon_7_3_1-poster-00001.jpg%22	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/_https_/assets-global.website-files.com/62879326fd745f7489b43224/62a3a7248e6a2b47b66bd26c_Arkham_pentagon_7_3_1-poster-00001.jpg_	(from https://www.arkhamintelligence.com/)
15:07:11	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:50%20GMT	https://www.arkhamintelligence.com/popup.css	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/popup.css	(from https://embed.typeform.com/next/embed.js)
